feature,coef,t,r2,n,abs_t
emotion_valence,0.07444405247893783,14.978215032122296,0.003558557372534521,62822,14.978215032122296
p_joy_wmean_emotion,0.07279423825845353,14.308428782463245,0.0032484253488819226,62822,14.308428782463245
emotion_joy_over_neutral,0.0333514765045652,12.978365314174448,0.002674109275712655,62822,12.978365314174448
emotion_negative_mean,-0.7606306686252077,-12.335890805727267,0.0024165308550855302,62822,12.335890805727267
p_sadness_wmean_emotion,-0.2965737258742735,-10.979028676994362,0.0019151261249110707,62822,10.979028676994362
p_neutral_wmean_emotion,-0.052134130889000756,-10.8009638470709,0.0018536226502295916,62822,10.8009638470709
p_disgust_wmean_emotion,-0.47301025744021047,-8.546720298516082,0.0011614388554834765,62822,8.546720298516082
entropy_wmean_emotion,0.03146321579617117,7.524027157418242,0.0009003504447683275,62822,7.524027157418242
p_fear_wmean_emotion,-0.13264654560053238,-4.915315085315995,0.00038444816931237913,62822,4.915315085315995
p_anger_wmean_emotion,-0.4152466756141729,-4.837672023070757,0.00037240298041296693,62822,4.837672023070757
n_tokens_total_emotion,-5.673361892817177e-07,-4.210469091056217,0.00028212429883966994,62822,4.210469091056217
p_surprise_wmean_emotion,0.029934540990912268,2.61577034714965,0.00010890654795725485,62822,2.61577034714965
emotion_arousal,-0.00320665792730331,-0.10266089304099543,1.6776913636107338e-07,62822,0.10266089304099543
